Author,No. Papers,Notes,OA_Profile,OA_ID,ORCID,Display_name,Display_name_alternatives,works_count,cited_by_count,2yr_mean_citedness,h_index,i10_index,ID-1923,ID-1936,ID-1944,ID-1959,ID-1962,ID-1976,ID-1979,ID-1982,affiliation-1923,affiliation-1936,affiliation-1944,affiliation-1959,affiliation-1962,affiliation-1976,affiliation-1979,affiliation-1982,unique_affiliation_count,all_china,some_china,some_usa,all_countries,affiliation_display_name_1982,affiliation_id_1982,affiliation_country_1982,affiliation_display_name_1979,affiliation_id_1979,affiliation_country_1979,affiliation_display_name_1976,affiliation_id_1976,affiliation_country_1976,affiliation_display_name_1962,affiliation_id_1962,affiliation_country_1962,affiliation_display_name_1959,affiliation_id_1959,affiliation_country_1959,affiliation_display_name_1944,affiliation_id_1944,affiliation_country_1944,affiliation_display_name_1936,affiliation_id_1936,affiliation_country_1936,affiliation_display_name_1923,affiliation_id_1923,affiliation_country_1923,affiliation_data,unique_country_count,all_usa,Most Recent Affiliation Year,Most Recent Affiliation,Most Recent Affiliation Country,affiliation_id_1983,affiliation_country_1983,affiliation_display_name_1983,affiliation_id_1984,affiliation_country_1984,affiliation_display_name_1984,affiliation_id_1985,affiliation_country_1985,affiliation_display_name_1985,affiliation_id_1986,affiliation_country_1986,affiliation_display_name_1986,affiliation_id_1987,affiliation_country_1987,affiliation_display_name_1987,affiliation_id_1988,affiliation_country_1988,affiliation_display_name_1988,affiliation_id_1989,affiliation_country_1989,affiliation_display_name_1989,affiliation_id_1990,affiliation_country_1990,affiliation_display_name_1990,affiliation_id_1991,affiliation_country_1991,affiliation_display_name_1991,affiliation_id_1992,affiliation_country_1992,affiliation_display_name_1992,affiliation_id_1993,affiliation_country_1993,affiliation_display_name_1993,affiliation_id_1994,affiliation_country_1994,affiliation_display_name_1994,affiliation_id_1995,affiliation_country_1995,affiliation_display_name_1995,affiliation_id_1996,affiliation_country_1996,affiliation_display_name_1996,affiliation_id_1997,affiliation_country_1997,affiliation_display_name_1997,affiliation_id_1998,affiliation_country_1998,affiliation_display_name_1998,affiliation_id_1999,affiliation_country_1999,affiliation_display_name_1999,affiliation_id_2000,affiliation_country_2000,affiliation_display_name_2000,affiliation_id_2001,affiliation_country_2001,affiliation_display_name_2001,affiliation_id_2002,affiliation_country_2002,affiliation_display_name_2002,affiliation_id_2003,affiliation_country_2003,affiliation_display_name_2003,affiliation_id_2004,affiliation_country_2004,affiliation_display_name_2004,affiliation_id_2005,affiliation_country_2005,affiliation_display_name_2005,affiliation_id_2006,affiliation_country_2006,affiliation_display_name_2006,affiliation_id_2007,affiliation_country_2007,affiliation_display_name_2007,affiliation_id_2008,affiliation_country_2008,affiliation_display_name_2008,affiliation_id_2009,affiliation_country_2009,affiliation_display_name_2009,affiliation_id_2010,affiliation_country_2010,affiliation_display_name_2010,affiliation_id_2011,affiliation_country_2011,affiliation_display_name_2011,affiliation_id_2012,affiliation_country_2012,affiliation_display_name_2012,affiliation_id_2013,affiliation_country_2013,affiliation_display_name_2013,affiliation_id_2014,affiliation_country_2014,affiliation_display_name_2014,affiliation_id_2015,affiliation_country_2015,affiliation_display_name_2015,affiliation_id_2016,affiliation_country_2016,affiliation_display_name_2016,affiliation_id_2017,affiliation_country_2017,affiliation_display_name_2017,affiliation_id_2018,affiliation_country_2018,affiliation_display_name_2018,affiliation_id_2019,affiliation_country_2019,affiliation_display_name_2019,affiliation_id_2020,affiliation_country_2020,affiliation_display_name_2020,affiliation_id_2021,affiliation_country_2021,affiliation_display_name_2021,affiliation_id_2022,affiliation_country_2022,affiliation_display_name_2022,affiliation_id_2023,affiliation_country_2023,affiliation_display_name_2023,affiliation_id_2024,affiliation_country_2024,affiliation_display_name_2024,affiliation_id_2025,affiliation_country_2025,affiliation_display_name_2025,affiliation_id_2026,affiliation_country_2026,affiliation_display_name_2026
A. Feder Cooper,1,,https://openalex.org/A5064217008,A5064217008,https://orcid.org/0000-0002-4892-681X,A. Feder Cooper,"A. Cooper, A. Feder Cooper, Aaron J. Cohen, Alex Cooper, Alissa Cooper, Avi Cooper, Cooper, A. Feder, Cooper, Avi",79,1009,2.407407407407407,13,15,,,,,,,,,,,,,,,,,4,False,False,True,"Bulgaria, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,True,3,False,2025,Stanford University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I1324611689,Bulgaria,Center for the Study of Democracy,,,,,,,,,,,,,https://openalex.org/I40120149,United Kingdom,University of Oxford,,,,,,,,,,,,,,,,,,,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I205783295,United States,Cornell University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,,,
AJ Co,1,,https://openalex.org/A5120056007,A5120056007,,AJ Co,"AJ Co, Co, AJ",1,0,0.0,0,0,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aashi Jain,2,,https://openalex.org/A5102625659,A5102625659,,Aashi Jain,"Aashi Jain, Jain, Aashi",8,3,0.4285714285714285,1,0,,,,,,,,,,,,,,,,,1,False,False,False,India,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2026,Shyam Shah Medical College,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I2802366294,India,Shyam Shah Medical College,,,,https://openalex.org/I2802366294,India,Shyam Shah Medical College
Abheesht Sharma,1,,https://openalex.org/A5112620294,A5112620294,,Abheesht Sharma,"Abheesht Sharma, Santilli, Andrea, Sharma, Abheesht",14,773,0.0,6,4,,,,,,,,,,,,,,,,,2,False,False,False,India,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2026,"Birla Institute of Technology and Science, Pilani - Goa Campus",India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I74796645,India,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,India,"Birla Institute of Technology and Science, Pilani",https://openalex.org/I74796645,India,"Birla Institute of Technology and Science, Pilani",,,,,,,,,,https://openalex.org/I4210148827,India,"Birla Institute of Technology and Science, Pilani - Goa Campus"
Abigail Jacobs,1,,https://openalex.org/A5062776849,A5062776849,https://orcid.org/0009-0008-3043-8827,Abigail Jacobs,"A. C. Jacobs, A. Jacobs, Abigail C Jacobs, Abigail C. Jacobs, Abigail Jacobs, Nalubola, Ritu",67,2579,1.6,31,43,,,,,,,,,,,,,,,,,11,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2025,University of Michigan–Ann Arbor,United States,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210095140,United States,National Institute of Environmental Health Sciences,,,,,,,,,,,,,,,,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,,,,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,,,,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,,,,,,,,,,https://openalex.org/I4210159785,United States,Buffalo BioLabs,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I4210150894,United States,Jacobs (United States),https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I4402554120,United States,Rutgers New Jersey Medical School,,,,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1320320070,United States,United States Food and Drug Administration,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1333606569,United States,Center for Drug Evaluation and Research,https://openalex.org/I1320320070,United States,United States Food and Drug Administration,https://openalex.org/I1320320070,United States,United States Food and Drug Administration,https://openalex.org/I2802236040,United States,University of Colorado System,https://openalex.org/I4210122485,United States,Island Hospital,https://openalex.org/I4210143595,United States,Seeqc (United States),https://openalex.org/I100538780,United States,Wesleyan University,https://openalex.org/I27837315,United States,University of Michigan–Ann Arbor,,,
Adam Charles Roberts,1,,https://openalex.org/A5076243636,A5076243636,https://orcid.org/0000-0001-6497-0717,Adam Charles Roberts,"A. C. Roberts, A. Roberts, A.C. Roberts, Adam C. Roberts, Adam Charles Roberts, Adam Roberts, Lorenzo, Isabel, Markus Kgel, Pérez-Otaño, Isabel, Roberts, Adam",71,1083,0.3571428571428571,19,31,,,,,,,,,,,,,,,,,7,False,False,False,"Australia, Singapore, Switzerland, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,True,4,False,2025,CREATe Centre,United Kingdom,,,,,,,,,,,,,,,,,,,https://openalex.org/I40120149,United Kingdom,University of Oxford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I91136226,United Kingdom,University of Sheffield,https://openalex.org/I91136226,United Kingdom,University of Sheffield,https://openalex.org/I91136226,United Kingdom,University of Sheffield,https://openalex.org/I91136226,United Kingdom,University of Sheffield,,,,,,,,,,,,,https://openalex.org/I40120149,United Kingdom,University of Oxford,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I172675005,Singapore,Nanyang Technological University,https://openalex.org/I35440088,Switzerland,ETH Zurich,https://openalex.org/I63525965,Australia,Western Sydney University,https://openalex.org/I4210103465,Singapore,Deutsche Telekom (Singapore),https://openalex.org/I4210103465,Singapore,Deutsche Telekom (Singapore),https://openalex.org/I4210146168,United Kingdom,CREATe Centre,,,
Adham Elarabawy,1,,https://openalex.org/A5120056006,A5120056006,,Adham Elarabawy,"Adham Elarabawy, Elarabawy, Adham",1,0,0.0,0,0,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alexander Sasha Vezhnevets,1,,https://openalex.org/A5030684417,A5030684417,,Alexander Sasha Vezhnevets,"Alexander S Vezhnevets, Alexander S. Vezhnevets, Alexander Sasha Vezhnevets, Vezhnevets, Alexander Sasha",25,4413,0.5,9,9,,,,,,,,,,,,,,,,,3,False,False,True,"United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,Google (United Kingdom),United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I1291425158,United States,Google (United States),,,,https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),,,,https://openalex.org/I4210113297,United Kingdom,Google (United Kingdom),,,
Alexandra Chouldechova,1,,https://openalex.org/A5057438082,A5057438082,https://orcid.org/0000-0002-2337-9610,Alexandra Chouldechova,"A. Chouldechova, Alexandra Chouldechova, Chouldechova, Alexandra, Liu, Ken, McAuley, Julian",87,2273,0.8846153846153846,21,33,,,,,,,,,,,,,,,,,3,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2025,Carnegie Mellon University,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I97018004,United States,Stanford University,,,,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I4210135976,United States,Children's Hospital at Montefiore,https://openalex.org/I74973139,United States,Carnegie Mellon University,,,,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,https://openalex.org/I74973139,United States,Carnegie Mellon University,,,
Alice Lisak,1,,https://openalex.org/A5120056003,A5120056003,,Alice Lisak,"Alice Lisak, Lisak, Alice",1,0,0.0,0,0,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amy Cyphert,1,,https://openalex.org/A5042134422,A5042134422,,Amy Cyphert,"Amy Cyphert, Choi, Yejin, Cyphert, Amy B.",18,58,1.5555555555555556,5,1,,,,,,,,,,,,,,,,,1,False,False,True,United States,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2025,Virginia College,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I2800680523,United States,Virginia College,,,,https://openalex.org/I2800680523,United States,Virginia College,https://openalex.org/I2800680523,United States,Virginia College,,,,https://openalex.org/I2800680523,United States,Virginia College,https://openalex.org/I2800680523,United States,Virginia College,,,,https://openalex.org/I2800680523,United States,Virginia College,https://openalex.org/I2800680523,United States,Virginia College,https://openalex.org/I2800680523,United States,Virginia College,,,
Andreas Doumanoglou,2,,https://openalex.org/A5064058456,A5064058456,,Andreas Doumanoglou,"Andreas Doumanoglou, Doumanoglou, Andreas",16,753,0.5,9,9,,,,,,,,,,,,,,,,,2,False,True,False,"China, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2018,China Philanthropy Research Institute,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I47508984,United Kingdom,Imperial College London,https://openalex.org/I47508984,United Kingdom,Imperial College London,https://openalex.org/I47508984,United Kingdom,Imperial College London,https://openalex.org/I47508984,United Kingdom,Imperial College London,https://openalex.org/I4210144971,China,China Philanthropy Research Institute,,,,,,,,,,,,,,,,,,,,,,,,
Andreas Terzis,1,,https://openalex.org/A5103331911,A5103331911,https://orcid.org/0000-0002-5681-3399,Andreas Terzis,"A. Terzis, Andreas F Terzis, Andreas F. Terzis, Andreas Terzis, Neel, Seth, Terzis, Andreas, Terzis, Andreas F.",238,10826,7.8,49,144,,,,,,,,,,,,,,,,,10,False,False,True,"France, Greece, Japan, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,True,5,False,2025,DeepMind (United Kingdom),United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I157725225,United States,University of Illinois Urbana-Champaign,https://openalex.org/I74801974,Japan,The University of Tokyo,https://openalex.org/I174878644,Greece,University of Patras,,,,,,,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I8901234,Greece,Foundation for Research and Technology Hellas,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I4210156583,France,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I4210156583,France,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,France,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,France,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I4210156583,France,Laboratoire d'Informatique de Paris-Nord,https://openalex.org/I193531525,United States,George Washington University,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I1291425158,United States,Google (United States),https://openalex.org/I174878644,Greece,University of Patras,https://openalex.org/I145311948,United States,Johns Hopkins University,https://openalex.org/I174878644,Greece,University of Patras,,,,https://openalex.org/I4210121988,United States,Film Independent,https://openalex.org/I174878644,Greece,University of Patras,,,,https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),,,
Angeliki Lazaridou,1,,https://openalex.org/A5042659302,A5042659302,https://orcid.org/0000-0002-5857-474X,Angeliki Lazaridou,"Angeliki Lazaridou, Kruszewski, German, Lazaridou, Angeliki, Wang, Shibo, Αγγελική Λαζαρίδου",121,4638,46.833333333333336,31,53,,,,,,,,,,,,,,,,,9,False,False,True,"Cyprus, Greece, Italy, Norway, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,True,6,False,2025,University of Thessaly,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210099340,Cyprus,Intercollege,https://openalex.org/I17389662,Cyprus,University of Nicosia,,,,https://openalex.org/I200777214,Greece,National and Kapodistrian University of Athens,,,,https://openalex.org/I193223587,Italy,University of Trento,https://openalex.org/I193223587,Italy,University of Trento,https://openalex.org/I193223587,Italy,University of Trento,https://openalex.org/I193223587,Italy,University of Trento,https://openalex.org/I57206974,United States,New York University,https://openalex.org/I193223587,Italy,University of Trento,https://openalex.org/I145722265,Greece,University of Thessaly,https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210090411,United Kingdom,DeepMind (United Kingdom),https://openalex.org/I4210114444,United States,Meta (United States),https://openalex.org/I2801177623,Norway,Telio (Norway),https://openalex.org/I145722265,Greece,University of Thessaly,https://openalex.org/I145722265,Greece,University of Thessaly,,,
Antoine Dedieu,1,,https://openalex.org/A5091131733,A5091131733,,Antoine Dedieu,"Antoine Dedieu, Dedieu, Antoine, Zhu, Zhen",39,252,0.6666666666666666,7,5,,,,,,,,,,,,,,,,,2,False,False,True,"United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,Google (United Kingdom),United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,,,,https://openalex.org/I63966007,United States,Massachusetts Institute of Technology,,,,,,,,,,https://openalex.org/I4210113297,United Kingdom,Google (United Kingdom),,,
Armand Joulin,1,,https://openalex.org/A5107859338,A5107859338,,Armand Joulin,"Armand Joulin, Borgeaud, Sebastian, Hussenot, Léonard, Joulin, A., Joulin, Armand",146,38878,29.153846153846153,61,96,,,,,,,,,,,,,,,,,9,False,False,True,"Burundi, France, Israel, United Kingdom, United States",,,,,,,,,,,,,,,,,,,,,,,,,True,5,False,2023,Meta (United Kingdom),United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210162280,France,Laboratoire de Géologie de l’École Normale Supérieure,https://openalex.org/I4210162280,France,Laboratoire de Géologie de l’École Normale Supérieure,https://openalex.org/I4210103330,Burundi,École Normale Supérieure,https://openalex.org/I1326498283,France,Institut national de recherche en informatique et en automatique,https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I4210114444,United States,Meta (United States),https://openalex.org/I97018004,United States,Stanford University,https://openalex.org/I4210114444,United States,Meta (United States),https://openalex.org/I4210114444,United States,Meta (United States),https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I2252078561,Israel,Meta (Israel),https://openalex.org/I2252078561,Israel,Meta (Israel),https://openalex.org/I45129253,United Kingdom,University College London,https://openalex.org/I4210111288,United Kingdom,Meta (United Kingdom),,,,,,,,,
Babak Samari,1,,https://openalex.org/A5052565533,A5052565533,,Babak Samari,"B. Samari, Babak Samari, Samari, Babak",15,466,0.0,4,4,,,,,,,,,,,,,,,,,1,False,False,False,Canada,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2020,McGill University,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I5023651,Canada,McGill University,https://openalex.org/I5023651,Canada,McGill University,https://openalex.org/I5023651,Canada,McGill University,https://openalex.org/I5023651,Canada,McGill University,,,,,,,,,,,,,,,,,,
Bahare Fatemi,1,,https://openalex.org/A5063661444,A5063661444,,Bahare Fatemi,"Bahare Fatemi, Fatemi, Bahare",33,191,1.8571428571428572,6,4,,,,,,,,,,,,,,,,,1,False,False,False,Canada,,,,,,,,,,,,,,,,,,,,,,,,,True,1,False,2021,University of British Columbia,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I141945490,Canada,University of British Columbia,https://openalex.org/I141945490,Canada,University of British Columbia,https://openalex.org/I141945490,Canada,University of British Columbia,,,,,,,,,,,,,,,
Ben Hora,1,,https://openalex.org/A5120056008,A5120056008,,Ben Hora,"Ben Hora, Hora, Ben",1,0,0.0,0,0,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biao Zhang,1,,https://openalex.org/A5100363719,A5100363719,https://orcid.org/0000-0002-4865-7090,Biao Zhang,"Biao Zhang, Zhang Biao, Zhang, Biao",95,1798,3.4166666666666665,20,33,,,,,,,,,,,,,,,,,9,False,True,False,"China, United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,True,2,False,2025,Soochow University,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I94611258,China,Hebei Normal University,https://openalex.org/I94611258,China,Hebei Normal University,,,,https://openalex.org/I94611258,China,Hebei Normal University,,,,,,,https://openalex.org/I16365422,China,Hefei University of Technology,,,,,,,,,,https://openalex.org/I194450716,China,Jilin University,https://openalex.org/I19820366,China,Chinese Academy of Sciences,,,,,,,https://openalex.org/I191208505,China,Xiamen University,https://openalex.org/I3923682,China,Soochow University,https://openalex.org/I354108,China,Minjiang University,https://openalex.org/I4210165198,China,Beijing Advanced Sciences and Innovation Center,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I98677209,United Kingdom,University of Edinburgh,https://openalex.org/I3923682,China,Soochow University,,,
Blair Chen,1,,https://openalex.org/A5114141711,A5114141711,,Blair Chen,"Blair Chen, Chen, Blair",2,10,5.0,1,0,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Potetz,1,,https://openalex.org/A5120056009,A5120056009,,Brian Potetz,"Brian Potetz, Potetz, Brian",1,0,0.0,0,0,,,,,,,,,,,,,,,,,0,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,False,0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C. K. Yip,1,,https://openalex.org/A5045065945,A5045065945,https://orcid.org/0000-0002-5393-6609,C. K. Yip,"C. C. K. Yip, C. K. Yip, C. Yip, C.K. Yip, Calvin C. K. Yip, Calvin C.K. Yip, Calvin Chi Kong Yip, Calvin Chi-Kong Yip, Calvin Yip, Chi Kong Yip",21,233,1.6666666666666667,7,7,,,,,,,,https://openalex.org/I67415387,,,,,,,,Lancaster University,6,False,True,False,"Canada, China, Hong Kong, Netherlands, United Kingdom",Lancaster University,https://openalex.org/I67415387,United Kingdom,,,,,,,,,,,,,,,,,,,,,,True,5,False,2025,Tung Wah College,China,,,,https://openalex.org/I67415387,United Kingdom,Lancaster University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I14243506,Hong Kong,Hong Kong Polytechnic University,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://openalex.org/I4210090073,Netherlands,Novem (Netherlands),https://openalex.org/I14243506,Hong Kong,Hong Kong Polytechnic University,,,,,,,https://openalex.org/I2801745840,China,Kwai Chung Hospital,https://openalex.org/I14243506,Hong Kong,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong,Hong Kong Polytechnic University,https://openalex.org/I14243506,Hong Kong,Hong Kong Polytechnic University,,,,,,,https://openalex.org/I184430034,Canada,Toronto Public Health,,,,,,,https://openalex.org/I107182072,China,Tung Wah College,https://openalex.org/I107182072,China,Tung Wah College,https://openalex.org/I107182072,China,Tung Wah College,https://openalex.org/I107182072,China,Tung Wah College,,,
